time;V(Net-_R1-Pad1_);V(Vcmp);
4.92253e-07;0;1.08691;
4.92258e-07;0;1.09184;
4.92263e-07;0;1.09679;
4.92268e-07;0;1.10176;
4.92273e-07;0;1.10675;
4.92278e-07;0;1.11176;
4.92283e-07;0;1.11679;
4.92288e-07;0;1.12185;
4.92293e-07;0;1.12692;
4.92298e-07;0;1.13201;
4.92303e-07;0;1.13712;
4.92308e-07;0;1.14225;
4.92313e-07;0;1.1474;
4.92318e-07;0;1.15256;
4.92323e-07;0;1.15775;
4.92328e-07;0;1.16295;
4.92333e-07;0;1.16816;
4.92338e-07;0;1.17339;
4.92343e-07;0;1.17864;
4.92348e-07;0;1.18391;
4.92353e-07;0;1.18918;
4.92358e-07;0;1.19448;
4.92363e-07;0;1.19978;
4.92368e-07;0;1.2051;
4.92373e-07;0;1.21044;
4.92378e-07;0;1.21578;
4.92383e-07;0;1.22114;
4.92388e-07;0;1.22651;
4.92393e-07;0;1.2319;
4.92398e-07;0;1.23729;
4.92403e-07;0;1.2427;
4.92408e-07;0;1.24811;
4.92413e-07;0;1.25354;
4.92418e-07;0;1.25897;
4.92423e-07;0;1.26442;
4.92428e-07;0;1.26987;
4.92433e-07;0;1.27533;
4.92438e-07;0;1.2808;
4.92443e-07;0;1.28627;
4.92448e-07;0;1.29176;
4.92453e-07;0;1.29725;
4.92458e-07;0;1.30274;
4.92463e-07;0;1.30824;
4.92468e-07;0;1.31375;
4.92473e-07;0;1.31926;
4.92478e-07;0;1.32478;
4.92483e-07;0;1.3303;
4.92488e-07;0;1.33582;
4.92493e-07;0;1.34134;
4.92498e-07;0;1.34687;
4.92503e-07;0;1.3524;
4.92508e-07;0;1.35793;
4.92513e-07;0;1.36347;
4.92518e-07;0;1.369;
4.92523e-07;0;1.37453;
4.92528e-07;0;1.38007;
4.92533e-07;0;1.3856;
4.92538e-07;0;1.39113;
4.92543e-07;0;1.39666;
4.92548e-07;0;1.40219;
4.92553e-07;0;1.40772;
4.92558e-07;0;1.41324;
4.92563e-07;0;1.41876;
4.92568e-07;0;1.42428;
4.92573e-07;0;1.42979;
4.92578e-07;0;1.43529;
4.92583e-07;0;1.4408;
4.92588e-07;0;1.44629;
4.92593e-07;0;1.45178;
4.92598e-07;0;1.45726;
4.92603e-07;0;1.46274;
4.92608e-07;0;1.46821;
4.92613e-07;0;1.47367;
4.92618e-07;0;1.47912;
4.92623e-07;0;1.48456;
4.92628e-07;0;1.49;
4.92633e-07;0;1.49542;
4.92638e-07;0;1.50084;
4.92643e-07;0;1.50624;
4.92648e-07;0;1.51163;
4.92653e-07;0;1.51701;
4.92658e-07;0;1.52238;
4.92663e-07;0;1.52773;
4.92668e-07;0;1.53308;
4.92673e-07;0;1.53841;
4.92678e-07;0;1.54372;
4.92683e-07;0;1.54902;
4.92688e-07;0;1.55431;
4.92693e-07;0;1.55958;
4.92698e-07;0;1.56483;
4.92703e-07;0;1.57007;
4.92708e-07;0;1.5753;
4.92713e-07;0;1.5805;
4.92718e-07;0;1.58569;
4.92723e-07;0;1.59086;
4.92728e-07;0;1.59601;
4.92733e-07;0;1.60114;
4.92738e-07;0;1.60626;
4.92743e-07;0;1.61135;
4.92748e-07;0;1.61642;
4.92753e-07;0;1.62148;
4.92758e-07;0;1.62651;
4.92763e-07;0;1.63152;
4.92768e-07;0;1.63651;
4.92773e-07;0;1.64147;
4.92778e-07;0;1.64641;
4.92783e-07;0;1.65133;
4.92788e-07;0;1.65623;
4.92793e-07;0;1.6611;
4.92798e-07;0;1.66595;
4.92803e-07;0;1.67077;
4.92808e-07;0;1.67557;
4.92813e-07;0;1.68034;
4.92818e-07;0;1.68509;
4.92823e-07;0;1.68981;
4.92828e-07;0;1.6945;
4.92833e-07;0;1.69916;
4.92838e-07;0;1.7038;
4.92843e-07;0;1.70841;
4.92848e-07;0;1.71299;
4.92853e-07;0;1.71754;
4.92858e-07;0;1.72206;
4.92863e-07;0;1.72656;
4.92868e-07;0;1.73102;
4.92873e-07;0;1.73545;
4.92878e-07;0;1.73985;
4.92883e-07;0;1.74422;
4.92888e-07;0;1.74855;
4.92893e-07;0;1.75286;
4.92898e-07;0;1.75713;
4.92903e-07;0;1.76137;
4.92908e-07;0;1.76557;
4.92913e-07;0;1.76975;
4.92918e-07;0;1.77389;
4.92923e-07;0;1.77799;
4.92928e-07;0;1.78206;
4.92933e-07;0;1.78609;
4.92938e-07;0;1.79009;
4.92943e-07;0;1.79405;
4.92948e-07;0;1.79798;
4.92953e-07;0;1.80187;
4.92958e-07;0;1.80572;
4.92963e-07;0;1.80954;
4.92968e-07;0;1.81332;
4.92973e-07;0;1.81706;
4.92978e-07;0;1.82076;
4.92983e-07;0;1.82442;
4.92988e-07;0;1.82805;
4.92993e-07;0;1.83163;
4.92998e-07;0;1.83518;
4.93e-07;0;1.83694;
4.93e-07;0.00205;1.83729;
4.93002e-07;0.00615;1.83799;
4.93003e-07;0.01435;1.83938;
4.93007e-07;0.03075;1.84216;
4.93013e-07;0.05125;1.84559;
4.93018e-07;0.07175;1.84899;
4.93023e-07;0.09225;1.85235;
4.93028e-07;0.11275;1.85568;
4.93033e-07;0.13325;1.85897;
4.93038e-07;0.15375;1.86221;
4.93043e-07;0.17425;1.86543;
4.93048e-07;0.19475;1.8686;
4.93053e-07;0.21525;1.87174;
4.93058e-07;0.23575;1.87483;
4.93063e-07;0.25625;1.87789;
4.93068e-07;0.27675;1.88091;
4.93073e-07;0.29725;1.88389;
4.93078e-07;0.31775;1.88683;
4.93083e-07;0.33825;1.88972;
4.93088e-07;0.35875;1.89258;
4.93093e-07;0.37925;1.8954;
4.93098e-07;0.39975;1.89818;
4.93103e-07;0.42025;1.90091;
4.93108e-07;0.44075;1.90361;
4.93113e-07;0.46125;1.90626;
4.93118e-07;0.48175;1.90887;
4.93123e-07;0.50225;1.91144;
4.93128e-07;0.52275;1.91397;
4.93133e-07;0.54325;1.91645;
4.93138e-07;0.56375;1.91889;
4.93143e-07;0.58425;1.92129;
4.93148e-07;0.60475;1.92364;
4.93153e-07;0.62525;1.92596;
4.93158e-07;0.64575;1.92822;
4.93163e-07;0.66625;1.93045;
4.93168e-07;0.68675;1.93263;
4.93173e-07;0.70725;1.93476;
4.93178e-07;0.72775;1.93686;
4.93183e-07;0.74825;1.9389;
4.93188e-07;0.76875;1.9409;
4.93193e-07;0.78925;1.94286;
4.93198e-07;0.80975;1.94477;
