time;V(Net-_R1-Pad1_);
5.5214e-10;0;
5.5264e-10;0;
5.5314e-10;0;
5.5364e-10;0;
5.5414e-10;0;
5.5464e-10;0;
5.5514e-10;0;
5.5564e-10;0;
5.5614e-10;0;
5.5664e-10;0;
5.5714e-10;0;
5.5764e-10;0;
5.5814e-10;0;
5.5864e-10;0;
5.5914e-10;0;
5.5964e-10;0;
5.6014e-10;0;
5.6064e-10;0;
5.6114e-10;0;
5.6164e-10;0;
5.6214e-10;0;
5.6264e-10;0;
5.6314e-10;0;
5.6364e-10;0;
5.6414e-10;0;
5.6464e-10;0;
5.6514e-10;0;
5.6564e-10;0;
5.6614e-10;0;
5.6664e-10;0;
5.6714e-10;0;
5.6764e-10;0;
5.6814e-10;0;
5.6864e-10;0;
5.6914e-10;0;
5.6964e-10;0;
5.7014e-10;0;
5.7064e-10;0;
5.7114e-10;0;
5.7164e-10;0;
5.7214e-10;0;
5.7264e-10;0;
5.7314e-10;0;
5.7364e-10;0;
5.7414e-10;0;
5.7464e-10;0;
5.7514e-10;0;
5.7564e-10;0;
5.7614e-10;0;
5.7664e-10;0;
5.7714e-10;0;
5.7764e-10;0;
5.7814e-10;0;
5.7864e-10;0;
5.7914e-10;0;
5.7964e-10;0;
5.8014e-10;0;
5.8064e-10;0;
5.8114e-10;0;
5.8164e-10;0;
5.8214e-10;0;
5.8264e-10;0;
5.8314e-10;0;
5.8364e-10;0;
5.8414e-10;0;
5.8464e-10;0;
5.8514e-10;0;
5.8564e-10;0;
5.8614e-10;0;
5.8664e-10;0;
5.8714e-10;0;
5.8764e-10;0;
5.8814e-10;0;
5.8864e-10;0;
5.8914e-10;0;
5.8964e-10;0;
5.9014e-10;0;
5.9064e-10;0;
5.9114e-10;0;
5.9164e-10;0;
5.9214e-10;0;
5.9264e-10;0;
5.9314e-10;0;
5.9364e-10;0;
5.9414e-10;0;
5.9464e-10;0;
5.9514e-10;0;
5.9564e-10;0;
5.9614e-10;0;
5.9664e-10;0;
5.9714e-10;0;
5.9764e-10;0;
5.9814e-10;0;
5.9864e-10;0;
5.9914e-10;0;
5.9964e-10;0;
6.0014e-10;0;
6.0064e-10;0;
6.0114e-10;0;
6.0164e-10;0;
6.0214e-10;0;
6.0264e-10;0;
6.0314e-10;0;
6.0364e-10;0;
6.0414e-10;0;
6.0464e-10;0;
6.0514e-10;0;
6.0564e-10;0;
6.0614e-10;0;
6.0664e-10;0;
6.0714e-10;0;
6.0764e-10;0;
6.0814e-10;0;
6.0864e-10;0;
6.0914e-10;0;
6.0964e-10;0;
6.1014e-10;0;
6.1064e-10;0;
6.1114e-10;0;
6.1164e-10;0;
6.1214e-10;0;
6.1264e-10;0;
6.1314e-10;0;
6.1364e-10;0;
6.1414e-10;0;
6.1464e-10;0;
6.1514e-10;0;
6.1564e-10;0;
6.1614e-10;0;
6.1664e-10;0;
6.1714e-10;0;
6.1764e-10;0;
6.1814e-10;0;
6.1864e-10;0;
6.1914e-10;0;
6.1964e-10;0;
6.2014e-10;0;
6.2064e-10;0;
6.2114e-10;0;
6.2164e-10;0;
6.2214e-10;0;
6.2264e-10;0;
6.2314e-10;0;
6.2364e-10;0;
6.2414e-10;0;
6.2464e-10;0;
6.2514e-10;0;
6.2564e-10;0;
6.2614e-10;0;
6.2664e-10;0;
6.2714e-10;0;
6.2764e-10;0;
6.2814e-10;0;
6.2864e-10;0;
6.2914e-10;0;
6.2964e-10;0;
6.3014e-10;0;
6.3064e-10;0;
6.3114e-10;0;
6.3164e-10;0;
6.3214e-10;0;
6.3264e-10;0;
6.3314e-10;0;
6.3364e-10;0;
6.3414e-10;0;
6.3464e-10;0;
6.3514e-10;0;
6.3564e-10;0;
6.3614e-10;0;
6.3664e-10;0;
6.3714e-10;0;
6.3764e-10;0;
